"","res.TP","res.ANC","res.TPANC","res.anova"
"NA9845",0.0101010101010101,0.101010101010101,0.929292929292929,5.71178687654021e-06
"NI002A",0.474747474747475,0.878787878787879,0.777777777777778,0.000959964867494453
"NI005A",0.0303030303030303,0.0101010101010101,0.0101010101010101,0.000445776973933697
"NI006A",0.555555555555556,0.565656565656566,0.303030303030303,0.10823575644824
"NI007A",0.474747474747475,0.161616161616162,0.0808080808080808,0.60253218654641
"NI008A",0.454545454545455,0.383838383838384,0.262626262626263,0.460008273250588
"NI009A",0.0707070707070707,0.505050505050505,0.767676767676768,0.093556658182856
"NI013A",0.616161616161616,0.848484848484849,0.737373737373737,0.00994924318495531
"NI014A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.349137822832143
"NI015A",0.202020202020202,0.0707070707070707,0.0606060606060606,0.393216804488778
"NI017A",0.636363636363636,0.282828282828283,0.505050505050505,0.132301340124839
"NI020A",0.686868686868687,0.95959595959596,0.797979797979798,0.187394436470651
"NI025A",0.696969696969697,0.191919191919192,0.101010101010101,0.600796846087287
"NI026A",0.747474747474748,0.595959595959596,0.444444444444444,0.0639874697345644
"NI028A",0.545454545454545,0.0101010101010101,0.0101010101010101,0.253954494341721
"NI031A",0.0101010101010101,0.373737373737374,1,2.96812277175769e-31
"NI033A",0.151515151515152,0.0101010101010101,0.0404040404040404,1.18922120797403e-08
"NI042A",0.0606060606060606,0.0202020202020202,0.0202020202020202,0.560848897846188
"NI044A",0.232323232323232,0.131313131313131,0.434343434343434,0.00213138675029865
"NI053A",0.0606060606060606,0.919191919191919,0.98989898989899,0.00617408782223489
"NI072A",0.212121212121212,0.0505050505050505,0.585858585858586,4.20236435872151e-65
"NI076A",0.414141414141414,0.717171717171717,0.454545454545455,0.0215302382014157
"NI171A",0.626262626262626,0.444444444444444,0.545454545454545,0.00263874931530841
"NI196A",0.343434343434343,0.545454545454545,0.868686868686869,0.00053030250890729
"NI198A",0.444444444444444,0.454545454545455,0.747474747474748,3.32375788202752e-05
"NI199A",0.737373737373737,0.161616161616162,0.212121212121212,0.00267137539609029
"OP001A",0.282828282828283,0.525252525252525,0.545454545454545,0.165650337050337
"PE002A",0.0101010101010101,0.0101010101010101,0.0101010101010101,9.66719111188472e-56
"PI005A",0.797979797979798,0.474747474747475,0.414141414141414,0.110460464158555
"PI007A",0.151515151515152,0.0707070707070707,0.0303030303030303,0.593121024208545
"PI015A",0.0303030303030303,0.0202020202020202,0.0101010101010101,0.736185462145227
"PI018A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.00013667608366543
"PI022A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.269528670083328
"PI030A",0.939393939393939,0.0202020202020202,0.0101010101010101,0.253432460125665
"RA9999",0.232323232323232,0.939393939393939,0.929292929292929,0.000440780175334641
"RC001A",0.121212121212121,0.0202020202020202,0.0202020202020202,0.130028712459134
"RZ001A",0.0202020202020202,0.0101010101010101,0.0606060606060606,5.74740281234217e-10
"SA001A",0.0202020202020202,0.0101010101010101,0.0101010101010101,0.213237339117716
"SA001B",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.240377714237319
"SA003A",0.404040404040404,0.181818181818182,0.121212121212121,0.474411063318279
"SA006A",0.202020202020202,0.232323232323232,0.353535353535354,1.28648769594766e-07
"SA012A",0.202020202020202,0.0101010101010101,0.0101010101010101,0.115266962107191
"ST001A",0.0101010101010101,0.0101010101010101,0.0202020202020202,4.04369935336123e-08
"ST009A",0.0404040404040404,0.141414141414141,0.535353535353535,0.00162120510677918
"ST010A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.00467276309649507
"ST022A",0.383838383838384,0.0808080808080808,0.0101010101010101,0.410817951811441
"ST9999",0.0101010101010101,0.0202020202020202,0.97979797979798,4.15588979391617e-06
"SU002A",0.242424242424242,0.606060606060606,0.757575757575758,0.0841837740428802
"SU005A",0.0606060606060606,0.0202020202020202,0.0101010101010101,0.521234514403308
"SU006A",0.0101010101010101,0.0101010101010101,0.0101010101010101,1.26938996993247e-14
"SU016A",0.727272727272727,0.565656565656566,0.202020202020202,4.95185772337488e-05
"SU073B",0.747474747474748,0.252525252525253,0.151515151515152,0.149022588702828
"SY001A",0.282828282828283,0.0707070707070707,0.0303030303030303,0.971862895315099
"SY002A",0.0101010101010101,0.0202020202020202,0.0303030303030303,0.126251308838567
"SY003A",0.454545454545455,0.787878787878788,0.777777777777778,0.269742108315643
"SY004A",0.232323232323232,0.757575757575758,0.898989898989899,0.00213245324287364
"SY008A",0.202020202020202,0.555555555555556,0.777777777777778,0.00699317599194204
"SY009A",0.818181818181818,0.98989898989899,0.757575757575758,0.443494716698402
"SY010A",0.0202020202020202,0.0303030303030303,0.343434343434343,4.05521163399681e-07
"SY015A",0.101010101010101,0.0303030303030303,0.0303030303030303,0.297577820269914
"SY017A",0.0101010101010101,0.494949494949495,1,2.06737353751941e-14
"TA001A",0.0101010101010101,0.0101010101010101,0.0101010101010101,4.87849084798196e-08
"TA001C",0.0101010101010101,0.0101010101010101,0.0303030303030303,5.74128785389303e-09
"TA002A",0.0202020202020202,0.0101010101010101,0.0101010101010101,0.0279805167411385
"TH016A",0.121212121212121,0.222222222222222,0.858585858585859,1.21081133977983e-10
